# FIRESONG Output description
# Standard candle sources
# Desired neutrino diffuse flux:
#      E^2 dN_diffuse/dE = 9e-09 (E/100 TeV)^(-0.13) [GeV/cm^2.s.sr]
# Neutrino point source fluxes listed below are of 'A' where the flux is:
#      E^2 dN_PS/dE = A * (E/100 TeV)^(-0.13) [GeV/cm^2.s]
# Standard Candle Luminosity: 0.0000e+00 erg/yr 
# Note that using 4 years, IceCube sensitivity in the northern hemisphere
# is approximately 10^-9 in the units used for A
# Dec(deg) Redshift A
-59.9910 0.9795 2.0488e-11
-78.6740 5.6585 2.5179e-13
-55.4945 3.8225 6.6073e-13
31.2463 2.4965 1.9141e-12
20.9362 4.2665 5.0351e-13
59.6227 4.1625 5.3514e-13
66.3536 4.1525 5.3833e-13
-8.5726 3.6945 7.1895e-13
-59.9111 4.1535 5.3801e-13
-32.0658 3.5485 7.9465e-13
-23.3421 2.1965 2.6426e-12
64.0155 1.0075 1.9077e-11
43.5288 4.9365 3.5166e-13
42.9087 1.9735 3.4635e-12
22.7934 4.0965 5.5670e-13
57.8334 4.6485 4.0763e-13
23.6904 2.7585 1.4899e-12
-4.8108 1.4565 7.4846e-12
-35.9046 1.7665 4.5858e-12
-20.7492 1.9455 3.5911e-12
0.9824 2.5675 1.7838e-12
31.5854 1.5145 6.7777e-12
-31.6415 2.9465 1.2631e-12
-17.4670 2.4375 2.0328e-12
-52.3929 4.4065 4.6498e-13
26.7861 4.1155 5.5037e-13
38.8187 3.0865 1.1248e-12
-3.9417 3.5325 8.0362e-13
-8.3584 3.5595 7.8856e-13
66.1903 2.4965 1.9141e-12
16.1367 2.4095 2.0927e-12
3.7278 5.2415 3.0361e-13
-10.1817 3.3285 9.3179e-13
26.9282 5.6855 2.4888e-13
50.2266 2.8085 1.4243e-12
-10.1656 1.0165 1.8652e-11
66.4000 3.6775 7.2722e-13
29.1403 2.7675 1.4778e-12
38.5978 3.2475 9.9078e-13
-86.4658 3.3895 8.9060e-13
-56.7429 2.0765 3.0454e-12
50.6118 2.9135 1.2992e-12
18.2183 4.1645 5.3451e-13
-65.4940 1.7585 4.6389e-12
61.5548 3.5405 7.9912e-13
19.0411 3.2845 9.6320e-13
